X   Y   Z   quatX   quatY   quatZ   W
-0.00352713 0.417952 0.811042 0.0730404 0.534206 -0.50664 0.67276 
-0.00372783 0.418297 0.809897 0.0730423 0.534205 -0.506641 0.672759 
-0.00392852 0.418641 0.808751 0.0730443 0.534205 -0.506642 0.672758 
-0.0041292 0.418985 0.807606 0.0730463 0.534204 -0.506643 0.672757 
-0.00432987 0.41933 0.806461 0.0730482 0.534204 -0.506644 0.672757 
-0.00453053 0.419674 0.805316 0.0730502 0.534204 -0.506645 0.672756 
-0.00473118 0.420019 0.80417 0.0730522 0.534203 -0.506646 0.672755 
-0.00493182 0.420363 0.803025 0.0730542 0.534203 -0.506648 0.672754 
-0.00513245 0.420708 0.80188 0.0730561 0.534203 -0.506649 0.672754 
-0.00533307 0.421052 0.800735 0.0730581 0.534202 -0.50665 0.672753 
-0.00553368 0.421397 0.799589 0.0730601 0.534202 -0.506651 0.672752 
-0.00573428 0.421741 0.798444 0.0730621 0.534202 -0.506652 0.672751 
-0.00593487 0.422086 0.797299 0.0730641 0.534201 -0.506653 0.672751 
-0.00613545 0.42243 0.796154 0.0730661 0.534201 -0.506654 0.67275 
-0.00633602 0.422775 0.795009 0.0730682 0.534201 -0.506655 0.672749 
-0.00653659 0.423119 0.793863 0.0730702 0.5342 -0.506656 0.672748 
-0.00673714 0.423464 0.792718 0.0730722 0.5342 -0.506657 0.672747 
-0.00693768 0.423808 0.791573 0.0730742 0.5342 -0.506658 0.672747 
-0.00713822 0.424153 0.790428 0.0730763 0.534199 -0.50666 0.672746 
-0.00733874 0.424497 0.789282 0.0730783 0.534199 -0.506661 0.672745 
-0.00753926 0.424842 0.788137 0.0730803 0.534199 -0.506662 0.672744 
-0.00773976 0.425186 0.786992 0.0730824 0.534199 -0.506663 0.672743 
-0.00794026 0.425531 0.785847 0.0730844 0.534198 -0.506664 0.672742 
-0.00814075 0.425876 0.784702 0.0730865 0.534198 -0.506665 0.672742 
-0.00834123 0.42622 0.783556 0.0730885 0.534198 -0.506666 0.672741 
-0.0085417 0.426565 0.782411 0.0730906 0.534198 -0.506667 0.67274 
-0.00874216 0.42691 0.781266 0.0730927 0.534198 -0.506668 0.672739 
-0.00894261 0.427254 0.780121 0.0730947 0.534197 -0.506669 0.672738 
-0.00914305 0.427599 0.778976 0.0730968 0.534197 -0.50667 0.672737 
-0.00934349 0.427944 0.777831 0.0730989 0.534197 -0.506671 0.672737 
-0.00954391 0.428288 0.776685 0.073101 0.534197 -0.506672 0.672736 
-0.00974433 0.428633 0.77554 0.073103 0.534197 -0.506673 0.672735 
-0.00994474 0.428978 0.774395 0.0731051 0.534197 -0.506674 0.672734 
-0.0101451 0.429322 0.77325 0.0731072 0.534196 -0.506675 0.672733 
-0.0103455 0.429667 0.772105 0.0731093 0.534196 -0.506676 0.672732 
-0.0105459 0.430012 0.77096 0.0731114 0.534196 -0.506677 0.672731 
-0.0107463 0.430356 0.769814 0.0731135 0.534196 -0.506678 0.67273 
-0.0109467 0.430701 0.768669 0.0731156 0.534196 -0.506679 0.672729 
-0.011147 0.431046 0.767524 0.0731177 0.534196 -0.50668 0.672729 
-0.0113474 0.431391 0.766379 0.0731198 0.534196 -0.506681 0.672728 
-0.0115477 0.431736 0.765234 0.0731218 0.534196 -0.506682 0.672727 
-0.011748 0.43208 0.764089 0.0731239 0.534195 -0.506683 0.672726 
-0.0119484 0.432425 0.762943 0.073126 0.534195 -0.506684 0.672725 
-0.0121487 0.43277 0.761798 0.0731281 0.534195 -0.506685 0.672724 
-0.012349 0.433115 0.760653 0.0731302 0.534195 -0.506686 0.672723 
-0.0125493 0.43346 0.759508 0.0731323 0.534195 -0.506687 0.672722 
-0.0127496 0.433804 0.758363 0.0731344 0.534195 -0.506688 0.672721 
-0.0129499 0.434149 0.757218 0.0731365 0.534195 -0.506689 0.67272 
-0.0131502 0.434494 0.756072 0.0731386 0.534195 -0.50669 0.67272 
-0.0133505 0.434839 0.754927 0.0731407 0.534195 -0.506691 0.672719 
-0.0135507 0.435184 0.753782 0.0731428 0.534195 -0.506692 0.672718 
