lbr_1_joint lbr_2_joint lbr_3_joint lbr_4_joint lbr_5_joint lbr_6_joint lbr_7_joint 
2.45854 -0.40189 1.95991 -1.16242 1.3364 -1.993 0.55623 
2.45951 -0.403075 1.959 -1.16486 1.3386 -1.99405 0.558814 
2.46046 -0.404272 1.95809 -1.16728 1.34082 -1.99508 0.561397 
2.4614 -0.40548 1.95718 -1.16969 1.34306 -1.99611 0.563981 
2.46232 -0.4067 1.95629 -1.17209 1.34531 -1.99711 0.566564 
2.46323 -0.407932 1.9554 -1.17447 1.34758 -1.99811 0.569147 
2.46413 -0.409175 1.95452 -1.17685 1.34986 -1.99909 0.57173 
2.46501 -0.41043 1.95364 -1.17921 1.35215 -2.00007 0.574312 
2.46587 -0.411696 1.95277 -1.18155 1.35446 -2.00102 0.576894 
2.46673 -0.412973 1.9519 -1.18389 1.35678 -2.00197 0.579475 
2.46757 -0.414262 1.95104 -1.18621 1.35912 -2.0029 0.582056 
2.46839 -0.415563 1.95019 -1.18852 1.36147 -2.00382 0.584637 
2.4692 -0.416875 1.94934 -1.19082 1.36384 -2.00473 0.587217 
2.47 -0.418198 1.9485 -1.19311 1.36621 -2.00563 0.589796 
2.47079 -0.419532 1.94766 -1.19538 1.36861 -2.00651 0.592374 
2.47156 -0.420877 1.94683 -1.19764 1.37101 -2.00738 0.594952 
2.47231 -0.422234 1.94601 -1.19989 1.37343 -2.00824 0.597528 
2.47306 -0.4236 1.94519 -1.20213 1.37586 -2.00909 0.600104 
2.47379 -0.424977 1.94439 -1.20435 1.3783 -2.00993 0.602679 
2.4745 -0.426365 1.94358 -1.20656 1.38076 -2.01075 0.605252 
2.47521 -0.427763 1.94279 -1.20876 1.38322 -2.01156 0.607824 
2.4759 -0.429172 1.942 -1.21095 1.3857 -2.01236 0.610396 
2.47658 -0.430591 1.94122 -1.21313 1.38819 -2.01315 0.612965 
2.47724 -0.43202 1.94045 -1.21529 1.39069 -2.01393 0.615534 
2.47789 -0.433459 1.93968 -1.21745 1.3932 -2.0147 0.618101 
2.47853 -0.434909 1.93892 -1.21959 1.39573 -2.01545 0.620666 
2.47916 -0.436369 1.93817 -1.22172 1.39826 -2.01619 0.62323 
2.47977 -0.437839 1.93743 -1.22384 1.4008 -2.01692 0.625792 
2.48038 -0.439319 1.93669 -1.22594 1.40336 -2.01764 0.628353 
